Date,Price,Open,High,Low,Volume,Chg%
0,1.78,1.83,1.88,1.77,42.98M,-3.78%
1,2.93,2.82,3.11,2.78,211.59M,15.81%
2,14.46,13.93,14.54,13.91,110.57M,4.03%
3,12.51,12.58,12.82,12.4,56.92M,-0.56%
4,15.84,16.32,16.53,15.55,239.96M,3.39%
5,19.28,18.84,19.28,18.75,121.66M,3.32%
6,32.1,33.6,34.26,31.67,200.30M,-8.10%
7,220.58,229.46,230.81,219.81,105.90M,-0.93%
8,361.53,360.38,364.92,355.55,54.26M,0.65%
9,2.44,2.49,2.53,2.44,15.43M,-1.61%
10,2.96,2.91,3.03,2.9,99.79M,1.02%
11,15.35,14.67,15.39,14.54,161.73M,6.15%
12,12.73,12.68,12.88,12.67,75.16M,1.76%
13,16.83,17.08,17.36,16.31,241.71M,-5.13%
14,19.06,19.22,19.3,18.93,82.18M,-1.14%
15,30.3,32.07,32.95,29.76,297.88M,-5.61%
16,2.53,2.45,2.56,2.44,16.56M,3.69%
17,2.74,2.87,2.9,2.68,84.68M,-7.43%
18,15.03,15.35,15.72,14.8,163.86M,-2.08%
19,19.9,19.13,19.93,18.97,208.33M,7.28%
20,17.84,17.99,18.22,16.97,282.67M,6.00%
21,19.45,19.15,19.74,19.14,118.95M,2.05%
22,32.0,33.97,34.37,31.23,338.43M,5.61%
23,1.72,1.79,1.8,1.68,39.14M,-3.37%
24,2.33,2.35,2.37,2.31,67.24M,-7.91%
25,2.8,2.74,2.82,2.72,33.97M,2.19%
26,14.15,15.07,15.22,14.08,170.18M,-5.85%
27,16.47,16.61,16.81,16.24,202.13M,3.98%
28,20.25,19.79,20.32,19.64,152.02M,1.76%
29,19.13,16.85,19.22,16.8,298.45M,7.23%
30,17.85,17.46,18.08,17.37,355.81M,-8.23%
31,381.82,363.13,383.3,357.51,82.18M,5.61%
32,1.78,1.73,1.8,1.71,47.73M,3.49%
33,2.3,2.34,2.36,2.29,22.64M,-1.29%
34,2.76,2.8,2.8,2.7,23.29M,-1.43%
35,17.03,16.03,17.1,16,149.23M,3.40%
36,19.67,20.14,20.33,19.61,118.21M,-2.86%
37,20.38,19.29,20.42,19.21,286.82M,6.53%
38,18.33,17.99,18.41,17.74,195.57M,2.69%
39,230.35,235.9,236.05,228.23,125.53M,4.43%
40,363.75,378.77,384.29,362.43,80.08M,-4.73%
41,1.77,1.8,1.8,1.72,19.32M,-0.56%
42,13.54,13.2,13.85,13.17,186.84M,6.36%
43,17.69,16.93,17.85,16.9,175.58M,3.88%
44,19.91,19.79,20.13,19.61,82.81M,1.22%
45,19.95,20.07,20.62,19.7,202.80M,-2.11%
46,34.42,34.08,34.73,33.2,223.53M,7.56%
47,230.54,230.1,232.18,227.12,84.82M,0.08%
48,348.59,357.82,359.67,342.57,89.35M,-4.17%
49,1.82,1.79,1.86,1.76,42.16M,2.82%
50,13.83,13.72,14.41,13.57,147.83M,-2.26%
51,13.55,13.5,13.67,13.41,65.22M,0.07%
52,17.15,17.76,17.96,16.97,132.84M,-3.05%
53,20.17,19.83,20.18,19.81,68.69M,1.31%
54,36.36,36.33,37.67,35.49,268.80M,5.64%
55,223.66,229.0,230.46,222.61,78.93M,-2.99%
56,352.42,350.8,358.86,340.51,79.45M,1.10%
57,1.77,1.84,1.84,1.76,29.20M,-2.75%
58,2.79,2.8,2.84,2.77,25.19M,1.09%
59,14.36,14.0,14.43,13.76,103.34M,3.83%
60,13.84,13.88,14.06,13.72,94.55M,2.14%
61,16.67,17.37,17.39,16.53,110.46M,-2.80%
62,18.21,18.51,18.74,18.03,156.16M,-0.65%
63,36.59,36.95,37.15,35.56,189.84M,0.63%
64,227.93,225.79,229.85,223.88,71.77M,1.91%
65,341.83,347.74,349.48,340.81,55.01M,-3.00%
66,2.21,2.27,2.29,2.21,24.84M,-3.91%
67,2.7,2.79,2.79,2.69,25.44M,-3.23%
68,14.46,14.45,14.56,14.06,77.37M,0.70%
69,14.01,13.9,14.02,13.74,57.00M,1.23%
70,19.31,20.02,20.63,19.28,153.75M,-3.21%
71,18.15,18.11,18.33,17.97,88.56M,-0.33%
72,38.2,37.47,38.35,37.14,204.75M,4.40%
73,225.67,225.92,226.99,223.14,64.31M,-0.99%
74,2.16,2.21,2.26,2.14,27.72M,-2.26%
75,2.79,2.71,2.8,2.71,31.82M,3.33%
76,13.61,14.45,14.5,13.59,108.17M,-5.88%
77,14.06,13.99,14.11,13.93,61.02M,0.36%
78,20.83,20.61,20.92,20.58,114.97M,3.27%
79,20.31,19.93,20.47,19.58,165.36M,5.18%
80,18.4,18.45,18.56,18.19,105.92M,1.38%
81,1.68,1.76,1.77,1.67,20.58M,-5.08%
82,2.21,2.22,2.22,2.13,16.58M,2.31%
83,2.91,2.8,2.97,2.78,51.72M,4.30%
84,13.59,13.37,13.8,13.24,136.07M,-0.15%
85,16.66,16.73,17.27,16.35,137.43M,-0.06%
86,20.58,20.89,20.9,20.37,85.87M,-1.20%
87,20.06,20.05,20.6,19.98,112.24M,-1.23%
88,17.89,17.89,18.03,17.71,147.54M,-2.77%
89,325.31,326.8,336.16,324.88,59.36M,-4.83%
90,1.64,1.67,1.68,1.62,20.36M,-2.38%
91,2.23,2.25,2.3,2.19,15.51M,0.90%
92,2.92,2.88,3.01,2.87,47.24M,0.34%
93,16.52,16.63,16.79,16.24,86.45M,-0.84%
94,19.79,20.42,20.56,19.75,90.76M,-3.84%
95,19.61,20.15,20.26,19.58,114.13M,-2.24%
96,17.85,18.01,18.13,17.79,101.19M,-0.22%
97,233.99,228.57,234.93,227.36,87.41M,3.69%
98,328.98,332.55,340.4,325.53,65.98M,1.13%
99,1.66,1.68,1.71,1.65,18.17M,1.22%
100,2.24,2.26,2.27,2.19,9.74M,0.45%
101,13.99,14.03,14.2,13.94,56.37M,-0.50%
102,16.97,16.57,17.03,16.49,73.88M,2.72%
103,20.27,19.78,20.49,19.69,139.27M,2.43%
104,20.02,20.24,20.26,19.73,109.91M,2.09%
105,43.4,39.34,43.47,38.7,337.13M,13.61%
106,254.11,237.57,254.33,236.89,133.96M,8.60%
107,340.79,327.02,342.08,324.37,55.12M,3.59%
108,1.68,1.66,1.69,1.61,14.75M,1.20%
109,13.21,13.84,13.9,12.96,115.55M,-2.80%
110,13.83,13.9,13.97,13.7,45.39M,-1.14%
111,16.79,16.87,17.12,16.74,61.98M,-1.06%
112,47.33,46.6,49.46,46.16,458.65M,9.06%
113,244.08,256.9,260.26,242.68,147.05M,-3.95%
114,328.33,333.1,337.57,327.4,58.42M,-3.66%
115,1.71,1.71,1.75,1.69,14.15M,1.79%
116,2.89,2.9,2.92,2.83,25.29M,-1.03%
117,12.93,13.27,13.29,12.29,205.01M,-2.12%
118,13.86,13.83,13.97,13.77,29.29M,0.22%
119,16.97,16.75,16.97,16.61,56.29M,1.07%
120,17.76,17.91,17.93,17.24,150.58M,-0.50%
121,48.66,49.47,50.21,47.33,353.66M,2.81%
122,246.28,247.7,247.9,240.44,83.55M,0.90%
123,2.15,2.23,2.25,2.14,16.50M,-4.02%
124,3.04,2.95,3.08,2.93,47.71M,5.19%
125,13.27,13.13,13.33,12.72,108.08M,2.63%
126,13.78,13.85,13.94,13.75,24.89M,-0.58%
127,19.41,19.93,19.98,19.27,95.08M,-3.05%
128,18.22,17.72,18.33,17.65,109.09M,2.59%
129,49.68,47.8,50.63,47.11,309.87M,2.10%
130,246.59,242.88,249.8,241.53,83.94M,0.13%
131,2.15,2.16,2.2,2.14,16.73M,0.00%
132,3.03,3.03,3.06,2.97,31.78M,-0.33%
133,13.21,13.31,13.49,12.94,88.94M,-0.45%
134,13.79,13.67,13.79,13.57,37.05M,0.07%
135,20.1,20.18,20.27,19.91,62.08M,-0.84%
136,19.18,19.26,19.48,18.83,105.00M,-1.18%
137,18.08,18.32,18.32,17.9,76.90M,-0.77%
138,50.26,51.49,51.66,49.84,196.92M,1.17%
139,1.67,1.68,1.71,1.62,15.51M,-2.34%
140,2.18,2.14,2.18,2.1,12.35M,1.40%
141,3.13,3.07,3.17,3.03,50.53M,3.30%
142,16.93,16.82,17.22,16.78,64.07M,-0.24%
143,20.02,19.98,20.06,19.86,45.54M,-0.40%
144,19.56,19.41,20.02,19.21,98.37M,1.98%
145,18.22,18.08,18.32,17.98,88.14M,0.77%
146,334.76,329.68,338.31,324.47,51.72M,1.96%
147,1.68,1.68,1.68,1.64,8.23M,0.60%
148,2.21,2.18,2.23,2.17,11.62M,1.38%
149,3.19,3.16,3.33,3.14,45.18M,1.92%
150,16.49,16.87,16.96,16.08,95.36M,-2.60%
151,20.37,20.16,20.44,20.14,58.47M,1.75%
152,20.01,19.41,20.07,19.24,91.36M,2.30%
153,238.21,239.87,241.8,230.6,119.06M,-3.40%
154,342.72,335.02,344.98,331.77,49.85M,2.38%
155,1.72,1.71,1.74,1.69,12.56M,2.38%
156,2.21,2.21,2.25,2.2,12.33M,0.00%
